,Species,total_reads,mean_ra,ALA,
1,Acarus farris,3,0%,,
2,Achroia grisella,3,0%,,
3,Agrotis infusa,77,0%,,
4,Ahasverus advena,871719,3%,,
5,Alaus melanops,1400,0%,,FP for fungi
6,Anthrenus sinensis,79710,0%,,Museum beetles  -genus definitely there
7,Apis mellifera,48,0%,,
8,Bactrocera neohumeralis,17,0%,,
9,Bactrocera tryoni,316,0%,,
10,Badumna insignis,11,0%,,
11,Bisnius sordidus,9,0%,,
12,Brachycaudus malvae,16,0%,,Genus occurs
13,Brachypeplus_Sp,20595750,20%,,
14,Bradysia impatiens,24361,0%,,
15,Brommella punctosparsa,6,0%,,Fungi
16,Buchananiella continua,4,0%,,FPl
17,Calliphora augur/dubia,114,0%,,
18,Calliphora ochracea,13,0%,,
19,Carpophilus bakewelli,15,0%,,
20,Carpophilus davidsoni,10239540,12%,,
21,Carpophilus dimidiatus,1673,0%,,
22,Carpophilus hemipterus,36985558,38%,,
23,Carpophilus marginellus,66686,0%,,
24,Carpophilus mutilatus,151008,1%,,
25,Carpophilus nepos,10248941,15%,,
26,Carpophilus nr.dimidiatus,26026596,23%,,
27,Carpophilus obsoletus,8081,0%,,
28,Carpophilus Sp7,415236,2%,,
29,Cerobasis guestfalica,24072,0%,,
30,Chrysomya rufifacies,25,0%,,
31,Chrysomya varipes,3036,0%,,
32,Coboldia fuscipes,35,0%,,
33,Coccinella transversalis,2,0%,,
34,Conoderus exsul,81,0%,,
35,Creontiades dilutus,2,0%,,
36,Cryptachaea veruculata,47428,0%,,
37,Cryptolestes ferrugineus,8,0%,,
38,Cryptolestes pusilloides,977,0%,,
39,Cryptolestes pusillus,4,0%,,
40,Cryptolestes turcicus,323,0%,,
41,Dermestes frischii,2,0%,,
42,Diaeretiella rapae,30,0%,,
43,Dictyotus caenosus,130,0%,,
44,Drosophila albomicans,12,0%,,
45,Drosophila busckii,511,0%,,
46,Drosophila buzzatii,13271,0%,,
47,Drosophila hydei,904,0%,,
48,Drosophila immigrans,72,0%,,
49,Drosophila melanogaster,2087,0%,,
50,Drosophila rubida,17,0%,,
51,Drosophila simulans,58245,0%,,
52,Drosophila subpulchrella,10,0%,,
53,Drosophila sulfurigaster,5,0%,,
54,Drosophila suzukii,151,0%,,
55,Ectomyelois ceratoniae,79,0%,,
56,Elachista synethes,1,0%,,
57,Elattoma abeskoun,195,0%,,
58,Epiphyas postvittana,3,0%,,
59,Epuraea signata,169,0%,,
60,Forficula auricularia,141,0%,,
61,Frankliniella occidentalis,10,0%,,
62,Frankliniella schultzei,7819,0%,,
63,G__Aphis,3,0%,,
64,G__Carpophilus,281,0%,,
65,G__Pheidole,13,0%,,
66,Helicoverpa punctigera,7,0%,,
67,Hippodamia variegata,524943,2%,,
68,Hydrellia tritici,3,0%,,
69,Hylurgus ligniperda,27,0%,,
70,Ips grandicollis,56,0%,,
71,Iridomyrmex anceps,548,0%,,
72,Iridomyrmex purpureus,3,0%,,
73,Lamprolonchaea brouniana,2,0%,,
74,Lasioglossum erythrurum,27,0%,,
75,Liposcelis paeta,3,0%,,
76,Listronotus appendiculatus,54,0%,,
77,Litargus balteatus,167091,1%,,
78,Longitarsus echii,11,0%,,
79,Lyctocoris campestris,11,0%,,
80,Macrocheles merdarius,5,0%,,
81,Mallada signatus,20,0%,,
82,Megaselia halterata,7,0%,,
83,Megaselia scalaris,977,0%,,
84,Megaselia spiracularis,194,0%,,
85,Metallea incisuralis,3,0%,,
86,Micromus tasmaniae,226,0%,,
87,Monopis ethelella,4,0%,,
88,Monopis icterogastra,11,0%,,
89,Nehemitropia lividipennis,85,0%,,
90,Nezara viridula,37,0%,,
91,Nylanderia tasmaniensis,88,0%,,
92,Nysius caledoniae,205,0%,,
93,Ochetellus glaber,7,0%,,
94,Opilo whitei,264,0%,,
95,Orgilus lepidus,7,0%,,
96,Oryzaephilus mercator,138,0%,,
97,Oxycarenus luctuosus,2,0%,,
98,Parapalaeosepsis plebeia,10,0%,,
99,Paraphloeostiba gayndahensis,16332,4%,,
100,Parasitus fimetorum,634,0%,,
101,Persectania dyscrita,299,0%,,
102,Phthorimaea operculella,5,0%,,
103,Piezodorus oceanicus,2,0%,,
104,Polypedilum nubifer,12756,0%,,
105,Polyrhachis vigilans,38,0%,,
106,Procladius paludicola,4276,1%,,
107,Rhopalosiphum padi,199,0%,,
108,Rhopalosiphum rufiabdominalis,1,0%,,
109,Sancassania berlesei,3,0%,,
110,Sarcophaga assimilis,1,0%,,
111,Sarcophaga australis,13,0%,,
112,Scaptodrosophila kirki,3,0%,,
113,Scaptodrosophila lattivitata,900,0%,,
114,Sericoderus lateralis,39,0%,,
115,Sitona discoideus,61,0%,,
116,Sitophilus oryzae,224,0%,,
117,Tanytarsus fuscithorax,5,0%,,
118,Tetragnatha nitens,4,0%,,
119,Thrips tabaci,3,0%,,
120,Tribolium castaneum,225,0%,,
121,Typhaea stercorea,34,0%,,
122,Tyrophagus fanetzhangorum,7,0%,,
123,Urophorus humeralis,5774006,13%,,
124,Xyleborus perforans,2,0%,,
